ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3804152.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,90.0,5.56,0.98,3.78,0.80
3521887.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,90.0,3.97,0.20,1.38,2.40
28717247.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,89.0,6.98,1.18,5.27,0.53
3804183.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:30 PM,120.0,3.07,0.20,1.01,1.87
3808150.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,89.0,2.77,0.00,2.50,0.27
21212519.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,90.0,4.96,-,3.62,1.33
28707726.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,90.0,3.95,0.00,2.89,1.07
3601270.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:30 PM,119.0,3.73,1.18,2.56,-
28711710.0,Finished,19 June 2023  4:30 PM,19 June 2023  6:00 PM,89.0,1.34,0.00,1.34,0.00
28707798.0,Finished,19 June 2023  4:31 PM,19 June 2023  6:01 PM,90.0,7.25,0.98,4.40,1.87
28600456.0,Finished,19 June 2023  4:34 PM,19 June 2023  6:34 PM,120.0,2.31,0.00,0.45,1.87
3520774.0,Finished,19 June 2023  4:34 PM,19 June 2023  6:35 PM,120.0,4.16,0.00,3.62,0.53
21215817.0,Finished,19 June 2023  4:36 PM,19 June 2023  6:05 PM,88.0,0.66,0.00,0.66,0.00
21219688.0,Finished,19 June 2023  4:39 PM,19 June 2023  6:03 PM,83.0,0.64,-,0.64,0.00
3704907.0,Finished,19 June 2023  4:42 PM,19 June 2023  6:02 PM,80.0,0.92,0.39,0.52,0.00
21212529.0,Finished,19 June 2023  4:48 PM,19 June 2023  6:48 PM,120.0,7.28,0.59,4.83,1.87
