ID number,Grade/20.00,Grade/20.00_HW02,Grade/20.00_HW03,Grade/20.00_HW04,Grade/20.00_HW05,Grade/20.00_HW06,Grade/20.00_HW07,Grade/20.00_HW08,Grade/20.00_HW09,Grade/20.00_HW10,Grade/20.00_HW11
21200809.0,12.9,,,19.69,18.79,,,,,,
28627431.0,10.34,16.0,15.48,15.79,18.18,18.26,18.0,8.75,12.22,16.19,2.15
21208501.0,13.69,13.78,19.35,16.92,18.18,12.75,17.33,11.25,13.33,0.0,0.0
21200572.0,13.8,20.0,18.71,17.95,20.0,15.94,20.0,16.88,17.5,18.1,7.69
28709531.0,16.48,20.0,9.68,14.77,20.0,16.23,17.33,16.25,11.11,12.86,17.54
28707195.0,12.22,20.0,20.0,19.38,20.0,17.68,20.0,10.0,13.33,18.57,14.77
21213350.0,8.59,20.0,11.61,19.08,20.0,16.81,20.0,14.38,13.33,18.1,11.85
28729891.0,13.6,20.0,15.48,20.0,20.0,18.26,17.33,13.75,15.56,17.62,11.69
28706331.0,11.82,13.78,12.26,19.08,19.39,17.39,12.67,12.5,15.0,8.57,12.46
28708078.0,14.07,20.0,18.71,19.69,19.39,18.55,20.0,17.5,15.0,15.24,13.38
28711733.0,12.56,15.0,9.68,18.46,20.0,18.26,11.33,13.13,17.5,18.1,5.85
28706879.0,13.7,17.0,20.0,20.0,18.79,15.94,20.0,10.0,15.0,17.14,9.08
28708645.0,12.49,17.0,12.26,10.36,16.97,16.23,13.33,13.13,10.56,11.43,8.77
21218316.0,2.69,20.0,16.13,18.46,20.0,17.68,20.0,14.38,16.11,13.33,5.08
28610654.0,8.48,20.0,19.35,20.0,20.0,18.55,17.33,10.63,12.22,,
28725032.0,11.55,20.0,14.84,19.69,18.79,17.39,20.0,11.25,10.83,11.9,8.77
21200527.0,10.98,15.56,10.32,10.36,18.18,12.17,17.33,9.38,12.5,13.33,8.77
28707889.0,15.22,17.0,18.71,18.36,13.7,15.94,20.0,16.25,15.0,11.43,7.69
28603668.0,11.55,12.0,13.55,19.69,20.0,18.55,20.0,15.0,8.33,14.76,6.77
28709878.0,18.52,20.0,20.0,19.69,20.0,17.1,18.0,12.5,10.83,12.38,8.77
28709878.0,18.52,20.0,20.0,19.69,20.0,17.1,18.0,12.5,10.83,12.38,8.77
28601294.0,1.95,20.0,5.48,16.26,16.0,15.94,18.67,11.88,2.22,10.0,1.54
21201131.0,13.64,14.89,13.55,15.38,20.0,15.94,20.0,13.75,14.72,17.62,15.08
21215887.0,6.6,17.0,20.0,19.08,20.0,17.68,18.67,13.13,8.61,16.67,15.69
21207306.0,10.54,20.0,10.97,18.67,20.0,15.36,16.67,16.25,13.89,17.62,12.15
28609357.0,17.04,20.0,10.97,15.28,15.15,14.49,20.0,13.75,11.67,18.1,8.46
3804605.0,16.85,20.0,11.61,19.69,18.79,8.7,20.0,20.0,13.33,18.1,15.08
28706664.0,20.0,15.89,20.0,19.79,16.73,15.36,19.33,13.75,15.0,18.57,6.15
28616341.0,12.96,20.0,13.55,20.0,13.7,15.07,18.67,12.5,15.0,16.67,4.77
28602563.0,20.0,17.0,17.42,19.69,17.01,14.49,16.67,13.75,11.67,18.57,14.46
28706827.0,19.63,20.0,20.0,16.31,20.0,18.84,20.0,13.75,15.0,18.57,19.69
28738728.0,10.57,20.0,17.42,14.77,17.82,,14.0,13.75,13.33,15.71,3.85
28706508.0,18.89,20.0,20.0,19.69,20.0,18.55,20.0,13.13,15.0,18.1,19.69
