id number,state,started on,completed,time taken,grade/20.00
3802135,Finished,28 September 2020  12:32 AM,28 September 2020  1:13 AM,40.77,18.82
3803619,Finished,25 September 2020  11:22 AM,25 September 2020  12:51 PM,88.0,16.47
3804139,Finished,27 September 2020  1:44 PM,27 September 2020  3:44 PM,119.0,17.06
3800432,Finished,22 September 2020  5:30 PM,22 September 2020  6:50 PM,79.0,18.24
3876256,Finished,27 September 2020  10:36 PM,27 September 2020  11:07 PM,30.5,16.47
28502318,Finished,26 September 2020  7:05 PM,26 September 2020  8:44 PM,99.0,11.76
3702388,Finished,27 September 2020  4:05 PM,27 September 2020  5:00 PM,54.45,14.71
3802651,Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,15.58,17.65
3416871,Finished,22 September 2020  5:13 PM,22 September 2020  6:51 PM,98.0,14.71
3671634,Finished,27 September 2020  7:03 PM,27 September 2020  7:38 PM,35.42,18.82
3700108,Finished,25 September 2020  6:07 PM,25 September 2020  7:15 PM,68.0,10.59
3410283,Finished,21 September 2020  7:16 PM,21 September 2020  8:25 PM,69.0,13.53
3802501,Finished,28 September 2020  12:35 AM,28 September 2020  2:14 AM,99.0,19.41
3803112,Finished,28 September 2020  12:30 AM,28 September 2020  1:08 AM,37.8,18.82
3701404,Finished,27 September 2020  11:07 PM,27 September 2020  11:29 PM,22.27,18.82
3700144,Finished,24 September 2020  4:34 PM,24 September 2020  5:25 PM,51.45,15.29
3804929,Finished,27 September 2020  11:24 PM,28 September 2020  12:52 AM,88.0,16.47
3802734,Finished,27 September 2020  3:22 PM,27 September 2020  4:26 PM,64.0,17.06
3208353,Finished,26 September 2020  8:08 PM,26 September 2020  9:15 PM,66.0,17.06
3710439,Finished,28 September 2020  1:22 AM,28 September 2020  2:41 AM,79.0,8.82
3670543,Finished,27 September 2020  3:43 PM,27 September 2020  4:00 PM,16.48,17.06
3806311,Finished,22 September 2020  11:22 AM,22 September 2020  12:29 PM,67.0,17.06
3710493,Finished,27 September 2020  1:50 PM,27 September 2020  3:49 PM,118.0,14.12
3671340,Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,16.47,18.24
28717430,Finished,27 September 2020  12:04 PM,27 September 2020  2:04 PM,120.0,10.59
3677177,Finished,27 September 2020  8:14 PM,27 September 2020  10:12 PM,118.0,10.59
3670574,Finished,23 September 2020  4:24 AM,23 September 2020  5:23 AM,58.95,14.12
28616068,Finished,27 September 2020  10:34 PM,28 September 2020  12:34 AM,119.0,18.82
3670795,Finished,24 September 2020  1:18 PM,24 September 2020  1:54 PM,35.93,12.35
3801935,Finished,27 September 2020  11:04 PM,28 September 2020  12:10 AM,66.0,14.12
3680559,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71
3677063,Finished,27 September 2020  8:14 PM,27 September 2020  8:22 PM,7.55,16.47
3672216,Finished,24 September 2020  8:42 PM,24 September 2020  9:10 PM,28.12,12.94
3677850,Finished,21 September 2020  7:50 PM,21 September 2020  9:09 PM,79.0,4.71
3971113,Finished,27 September 2020  9:13 PM,27 September 2020  10:51 PM,98.0,16.47
28616582,Finished,23 September 2020  9:58 PM,23 September 2020  11:51 PM,112.0,10.59
28507548,Finished,27 September 2020  9:16 PM,27 September 2020  10:31 PM,75.0,10.0
3802696,Finished,26 September 2020  11:14 AM,26 September 2020  11:46 AM,31.82,11.18
28614429,Finished,22 September 2020  3:42 PM,22 September 2020  4:51 PM,69.0,11.18
3521310,Finished,25 September 2020  3:06 PM,25 September 2020  4:12 PM,66.0,11.76
3700288,Finished,27 September 2020  1:34 PM,27 September 2020  3:06 PM,91.0,9.41
3810883,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.12
3802927,Finished,28 September 2020  7:57 AM,28 September 2020  8:18 AM,20.92,19.41
3706553,Finished,27 September 2020  3:06 PM,27 September 2020  5:03 PM,117.0,9.41
3708951,Finished,27 September 2020  10:18 PM,27 September 2020  11:15 PM,56.63,15.88
3701943,Finished,27 September 2020  6:32 PM,27 September 2020  8:19 PM,107.0,15.29
3302425,Finished,22 September 2020  6:14 PM,22 September 2020  7:02 PM,48.13,4.71
3801875,Finished,27 September 2020  11:09 AM,27 September 2020  12:22 PM,73.0,15.29
3800455,Finished,26 September 2020  5:37 PM,26 September 2020  7:16 PM,99.0,18.82
3700584,Finished,27 September 2020  3:48 PM,27 September 2020  4:01 PM,12.28,18.82
3800333,Finished,24 September 2020  3:34 PM,24 September 2020  5:33 PM,118.0,11.76
3700463,Finished,28 September 2020  8:47 AM,28 September 2020  9:36 AM,49.02,12.35
3800411,Finished,23 September 2020  8:33 PM,23 September 2020  9:47 PM,74.0,16.47
3706539,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71
28718098,Finished,28 October 2020  10:54 PM,28 October 2020  11:30 PM,35.87,18.82
3970876,Finished,28 September 2020  1:46 AM,28 September 2020  2:20 AM,34.9,19.41
3520680,Finished,27 September 2020  10:28 PM,27 September 2020  10:40 PM,12.0,16.47
3800042,Finished,27 September 2020  3:49 PM,27 September 2020  5:34 PM,104.0,13.53
3520431,Finished,23 September 2020  12:49 PM,23 September 2020  2:44 PM,114.0,16.47
3800417,Finished,23 September 2020  4:22 PM,23 September 2020  5:41 PM,78.0,16.47
3520375,Finished,26 September 2020  11:18 AM,26 September 2020  12:35 PM,76.0,11.18
3702742,Finished,27 September 2020  8:37 PM,27 September 2020  10:06 PM,88.0,18.24
3872455,Finished,27 September 2020  3:40 PM,27 September 2020  4:54 PM,74.0,18.82
3802719,Finished,26 September 2020  8:37 PM,26 September 2020  9:23 PM,46.3,5.88
3802466,Finished,27 September 2020  8:52 PM,27 September 2020  9:42 PM,49.85,11.18
3671094,Finished,21 September 2020  9:14 PM,21 September 2020  11:12 PM,118.0,10.59
