id number,state,started on,completed,time taken,grade/20.00
21200809,Finished,12 September 2022  2:52 PM,12 September 2022  3:08 PM,15.18,12.9
28627431,Finished,12 September 2022  6:09 PM,12 September 2022  7:04 PM,55.55,10.34
21208501,Finished,12 September 2022  7:48 PM,12 September 2022  8:52 PM,63.0,13.69
21200572,Finished,12 September 2022  8:36 PM,12 September 2022  10:23 PM,107.0,13.8
28709531,Finished,13 September 2022  11:51 AM,13 September 2022  12:56 PM,64.0,16.48
28707195,Finished,13 September 2022  1:14 PM,13 September 2022  2:54 PM,100.0,12.22
21213350,Finished,13 September 2022  2:06 PM,13 September 2022  3:59 PM,112.0,8.59
28729891,Finished,13 September 2022  2:47 PM,13 September 2022  4:47 PM,120.0,13.6
28706331,Finished,13 September 2022  2:49 PM,13 September 2022  4:21 PM,92.0,11.82
28708078,Finished,13 September 2022  2:55 PM,13 September 2022  4:17 PM,81.0,14.07
28711733,Finished,13 September 2022  2:56 PM,13 September 2022  4:25 PM,88.0,12.56
28706879,Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,13.7
28708645,Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,12.49
21218316,Finished,13 September 2022  3:38 PM,13 September 2022  5:38 PM,120.0,2.69
28610654,Finished,13 September 2022  3:51 PM,13 September 2022  5:35 PM,103.0,8.48
28725032,Finished,13 September 2022  4:11 PM,13 September 2022  5:18 PM,67.0,11.55
21200527,Finished,13 September 2022  4:46 PM,13 September 2022  5:23 PM,36.77,10.98
28707889,Finished,13 September 2022  4:49 PM,13 September 2022  6:04 PM,75.0,15.22
28603668,Finished,13 September 2022  5:12 PM,13 September 2022  7:12 PM,120.0,11.55
28709878,Finished,13 September 2022  6:15 PM,13 September 2022  7:40 PM,84.0,18.52
28601294,Finished,13 September 2022  6:16 PM,13 September 2022  8:05 PM,109.0,1.95
21201131,Finished,13 September 2022  6:18 PM,13 September 2022  7:52 PM,94.0,13.64
