State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /2.00,Q. 5 /4.00,Q. 6 /1.00,Q. 7 /1.00
Finished,4 October 2020  4:14 PM,4 October 2020  4:22 PM,8.07,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  12:38 PM,3 October 2020  1:11 PM,33.47,18.89,3.89,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:25 PM,5 October 2020  12:08 AM,102.0,16.00,5.00,2.00,3.00,0.00,4.00,1.00,1.00
Finished,4 October 2020  11:35 PM,5 October 2020  12:45 AM,70.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  10:12 PM,3 October 2020  10:29 PM,17.48,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  10:57 PM,4 October 2020  11:05 PM,8.52,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:07 PM,4 October 2020  9:03 PM,55.38,15.00,5.00,3.00,4.00,2.00,0.00,1.00,0.00
Finished,4 October 2020  9:27 PM,4 October 2020  10:50 PM,82.0,4.33,3.33,0.00,0.00,0.00,0.00,1.00,0.00
Finished,4 October 2020  9:41 PM,4 October 2020  9:43 PM,2.28,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,29 September 2020  11:24 AM,29 September 2020  11:58 AM,33.83,19.00,5.00,3.00,3.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:09 PM,4 October 2020  1:48 PM,39.73,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  10:48 AM,3 October 2020  10:52 AM,3.55,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:21 PM,4 October 2020  3:36 PM,15.28,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:40 PM,4 October 2020  10:08 PM,88.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:24 PM,4 October 2020  10:44 PM,20.38,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  12:20 PM,4 October 2020  1:07 PM,46.6,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  11:10 PM,3 October 2020  11:13 PM,3.4,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:38 PM,4 October 2020  4:06 PM,28.7,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  9:36 PM,4 October 2020  11:26 PM,109.0,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  1:58 PM,4 October 2020  2:32 PM,34.52,19.00,5.00,3.00,4.00,2.00,4.00,1.00,0.00
Finished,3 October 2020  6:56 PM,3 October 2020  7:38 PM,41.78,16.00,5.00,3.00,4.00,2.00,0.00,1.00,1.00
Finished,5 October 2020  2:10 AM,5 October 2020  2:52 AM,42.08,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,2 October 2020  5:02 PM,2 October 2020  5:15 PM,13.88,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  3:20 PM,4 October 2020  3:35 PM,14.45,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  4:00 PM,4 October 2020  5:11 PM,70.0,16.44,4.44,3.00,1.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:33 PM,4 October 2020  11:04 PM,31.05,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  2:47 PM,4 October 2020  4:47 PM,120.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  8:42 AM,5 October 2020  9:49 AM,66.0,15.00,5.00,3.00,4.00,2.00,0.00,1.00,0.00
Finished,4 October 2020  2:18 PM,4 October 2020  2:39 PM,21.33,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  7:59 PM,3 October 2020  8:37 PM,37.75,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  4:14 PM,3 October 2020  4:15 PM,1.6,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,29 September 2020  3:11 PM,29 September 2020  3:46 PM,34.37,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  3:53 PM,3 October 2020  3:59 PM,5.8,18.00,5.00,2.00,3.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  4:09 PM,3 October 2020  4:14 PM,4.37,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,1 October 2020  2:22 PM,1 October 2020  2:45 PM,23.48,13.89,3.89,3.00,4.00,2.00,0.00,0.00,1.00
Finished,5 October 2020  7:04 AM,5 October 2020  7:56 AM,51.22,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  12:20 AM,5 October 2020  1:37 AM,76.0,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  4:28 PM,3 October 2020  4:39 PM,10.95,12.78,2.78,2.00,4.00,2.00,0.00,1.00,1.00
Finished,4 October 2020  11:10 PM,4 October 2020  11:49 PM,38.92,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  11:29 PM,4 October 2020  11:46 PM,17.93,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,30 September 2020  6:25 PM,30 September 2020  7:02 PM,37.3,19.44,4.44,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  5:26 PM,4 October 2020  5:35 PM,8.3,9.56,0.56,3.00,4.00,0.00,0.00,1.00,1.00
Finished,5 October 2020  9:30 AM,5 October 2020  10:04 AM,33.57,8.56,0.56,3.00,4.00,-,0.00,1.00,0.00
Finished,29 September 2020  3:12 PM,29 September 2020  3:47 PM,35.02,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,5 October 2020  6:32 AM,5 October 2020  6:43 AM,11.12,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  4:17 PM,4 October 2020  5:15 PM,57.47,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:43 PM,4 October 2020  9:32 PM,48.75,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  9:01 AM,5 October 2020  9:15 AM,13.23,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,2 October 2020  6:11 PM,2 October 2020  7:56 PM,104.0,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  1:04 PM,4 October 2020  1:43 PM,38.93,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  4:07 AM,5 October 2020  4:53 AM,46.8,13.44,4.44,3.00,4.00,0.00,0.00,1.00,1.00
Finished,4 October 2020  10:48 AM,4 October 2020  10:57 AM,8.37,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,2 October 2020  10:46 AM,2 October 2020  11:22 AM,36.3,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  3:21 PM,3 October 2020  3:55 PM,33.08,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:56 PM,4 October 2020  2:39 PM,43.55,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,29 September 2020  3:11 PM,29 September 2020  3:46 PM,34.42,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,29 October 2020  11:18 PM,29 October 2020  11:38 PM,20.35,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  9:01 PM,4 October 2020  10:32 PM,91.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  12:11 AM,5 October 2020  12:16 AM,5.05,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:38 PM,4 October 2020  2:18 PM,39.92,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,29 September 2020  10:01 PM,29 September 2020  10:32 PM,31.0,16.00,5.00,3.00,4.00,-,4.00,0.00,0.00
Finished,4 October 2020  10:50 PM,4 October 2020  11:23 PM,33.1,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  11:12 AM,4 October 2020  12:15 PM,62.0,18.00,5.00,3.00,4.00,0.00,4.00,1.00,1.00
Finished,4 October 2020  6:37 PM,4 October 2020  7:34 PM,57.52,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  8:41 PM,4 October 2020  10:18 PM,96.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  12:17 AM,5 October 2020  12:24 AM,7.18,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  6:23 PM,4 October 2020  6:52 PM,29.32,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  3:02 PM,4 October 2020  4:10 PM,68.0,11.89,3.89,3.00,4.00,0.00,0.00,0.00,1.00
Finished,4 October 2020  3:40 PM,4 October 2020  4:18 PM,38.35,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  3:55 PM,3 October 2020  4:03 PM,8.0,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  3:49 PM,3 October 2020  3:56 PM,7.02,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  11:53 PM,5 October 2020  12:34 AM,40.53,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  5:22 PM,4 October 2020  5:30 PM,7.57,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,28 September 2020  9:43 PM,28 September 2020  10:38 PM,55.33,14.00,5.00,3.00,4.00,0.00,0.00,1.00,1.00
Finished,4 October 2020  10:50 PM,4 October 2020  11:24 PM,33.68,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  6:08 PM,4 October 2020  7:57 PM,108.0,19.00,5.00,2.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  1:36 AM,5 October 2020  2:55 AM,78.0,12.33,3.33,0.00,4.00,0.00,4.00,0.00,1.00
Finished,5 October 2020  12:06 AM,5 October 2020  12:43 AM,37.53,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  11:34 PM,5 October 2020  12:04 AM,30.48,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  1:10 PM,4 October 2020  2:06 PM,56.1,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:33 PM,4 October 2020  2:20 PM,46.35,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,5 October 2020  7:31 AM,5 October 2020  8:06 AM,35.58,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  11:05 AM,4 October 2020  11:24 AM,18.65,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  10:00 PM,4 October 2020  11:42 PM,102.0,17.44,4.44,3.00,4.00,0.00,4.00,1.00,1.00
Finished,4 October 2020  10:46 AM,4 October 2020  11:20 AM,33.85,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  6:37 PM,4 October 2020  8:19 PM,101.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,30 September 2020  9:31 AM,30 September 2020  9:48 AM,16.45,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  5:16 PM,4 October 2020  5:47 PM,31.5,19.44,4.44,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  5:26 PM,3 October 2020  6:42 PM,75.0,15.44,4.44,3.00,4.00,0.00,4.00,0.00,0.00
Finished,5 October 2020  5:03 AM,5 October 2020  6:59 AM,115.0,8.56,0.56,3.00,4.00,0.00,0.00,0.00,1.00
Finished,3 October 2020  4:29 PM,3 October 2020  4:47 PM,18.05,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,3 October 2020  4:09 PM,3 October 2020  5:31 PM,81.0,15.00,5.00,3.00,4.00,2.00,0.00,0.00,1.00
Finished,5 October 2020  2:28 AM,5 October 2020  2:47 AM,18.92,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  4:55 PM,4 October 2020  5:57 PM,61.0,13.33,3.33,3.00,4.00,2.00,0.00,0.00,1.00
Finished,4 October 2020  5:47 PM,4 October 2020  6:50 PM,63.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  10:17 AM,3 October 2020  10:54 AM,36.6,19.44,4.44,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:44 PM,5 October 2020  12:40 AM,115.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:50 PM,4 October 2020  11:21 PM,31.08,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,3 October 2020  2:35 PM,3 October 2020  3:31 PM,56.35,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  1:45 PM,4 October 2020  3:13 PM,88.0,20.00,5.00,3.00,4.00,2.00,4.00,1.00,1.00
Finished,4 October 2020  10:28 PM,4 October 2020  11:12 PM,43.85,16.00,5.00,3.00,4.00,2.00,0.00,1.00,1.00
Finished,4 October 2020  7:54 PM,4 October 2020  9:54 PM,119.0,16.00,5.00,3.00,4.00,2.00,0.00,1.00,1.00
