State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,5 décembre 2021  1:04 ,5 décembre 2021  2:09 ,64.0,18.10,18.10
Finished,5 décembre 2021  5:48 ,5 décembre 2021  6:38 ,49.25,14.76,14.76
Finished,5 décembre 2021  8:26 ,5 décembre 2021  10:15 ,108.0,12.38,12.38
Finished,6 décembre 2021  9:27 ,6 décembre 2021  10:28 ,60.0,16.67,16.67
Finished,5 décembre 2021  12:22 ,5 décembre 2021  1:15 ,53.25,16.67,16.67
Finished,5 décembre 2021  1:48 ,5 décembre 2021  2:15 ,27.25,16.19,16.19
Finished,6 décembre 2021  2:58 ,6 décembre 2021  3:54 ,55.97,13.81,13.81
Finished,5 décembre 2021  11:19 ,6 décembre 2021  12:56 ,96.0,13.81,13.81
Finished,5 décembre 2021  6:26 ,5 décembre 2021  6:58 ,31.65,12.86,12.86
Finished,6 décembre 2021  9:13 ,6 décembre 2021  9:48 ,34.47,11.43,11.43
Finished,5 décembre 2021  9:02 ,5 décembre 2021  9:40 ,37.98,13.33,13.33
Finished,5 décembre 2021  11:49 ,6 décembre 2021  1:34 ,105.0,16.67,16.67
Finished,6 décembre 2021  8:23 ,6 décembre 2021  10:06 ,102.0,17.14,17.14
Finished,6 décembre 2021  5:51 ,6 décembre 2021  6:17 ,26.5,16.67,16.67
Finished,29 novembre 2021  6:11 ,29 novembre 2021  6:59 ,48.28,10.95,10.95
Finished,5 décembre 2021  11:41 ,6 décembre 2021  12:56 ,75.0,12.86,12.86
Finished,6 décembre 2021  9:20 ,6 décembre 2021  10:02 ,42.15,5.71,5.71
Finished,5 décembre 2021  11:05 ,5 décembre 2021  11:27 ,22.52,13.81,13.81
Finished,5 décembre 2021  11:11 ,6 décembre 2021  12:32 ,80.0,18.57,18.57
Finished,4 décembre 2021  5:14 ,4 décembre 2021  6:20 ,65.0,18.57,18.57
Finished,5 décembre 2021  5:06 ,5 décembre 2021  7:00 ,113.0,18.57,18.57
Finished,5 décembre 2021  10:19 ,5 décembre 2021  10:38 ,18.1,17.62,17.62
Finished,6 décembre 2021  12:32 ,6 décembre 2021  1:26 ,53.13,12.38,12.38
Finished,6 décembre 2021  12:50 ,6 décembre 2021  1:50 ,59.88,17.62,17.62
Finished,6 décembre 2021  9:15 ,6 décembre 2021  9:36 ,20.65,12.86,12.86
Finished,5 décembre 2021  5:25 ,5 décembre 2021  5:28 ,3.72,7.14,7.14
Finished,6 décembre 2021  9:34 ,6 décembre 2021  10:30 ,55.77,11.90,11.90
Finished,5 décembre 2021  11:58 ,6 décembre 2021  1:52 ,114.0,16.67,16.67
Finished,5 décembre 2021  1:31 ,5 décembre 2021  2:33 ,61.0,18.10,18.10
Finished,6 décembre 2021  12:02 ,6 décembre 2021  12:55 ,52.45,16.19,16.19
Finished,5 décembre 2021  9:59 ,5 décembre 2021  10:41 ,41.68,18.10,18.10
Finished,6 décembre 2021  9:18 ,6 décembre 2021  10:13 ,54.68,8.10,8.10
Finished,4 décembre 2021  4:20 ,4 décembre 2021  5:03 ,42.83,18.57,18.57
Finished,5 décembre 2021  10:16 ,5 décembre 2021  11:02 ,46.27,18.10,18.10
Finished,6 décembre 2021  9:11 ,6 décembre 2021  9:29 ,17.58,12.38,12.38
Finished,5 décembre 2021  10:30 ,5 décembre 2021  11:14 ,43.57,16.67,16.67
Finished,5 décembre 2021  8:51 ,5 décembre 2021  10:51 ,120.0,13.81,13.81
