State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /4.00,Q. 2 /10.00,Q. 3 /6.00
Finished,6 December 2022  8:16 AM,6 December 2022  9:15 AM,60,8.77,2.77,0.00,6.00
Finished,7 December 2022  3:35 PM,7 December 2022  4:33 PM,57,8.77,2.77,0.00,6.00
Finished,8 December 2022  3:17 PM,8 December 2022  4:40 PM,82,12.77,2.77,4.00,6.00
Finished,8 December 2022  3:17 PM,8 December 2022  4:40 PM,82,8.15,2.15,0.00,6.00
Finished,8 December 2022  3:17 PM,8 December 2022  4:40 PM,83,10.15,2.15,2.00,6.00
Finished,8 December 2022  3:18 PM,8 December 2022  4:53 PM,94,14.77,2.77,6.00,6.00
Finished,8 December 2022  3:19 PM,8 December 2022  4:45 PM,86,9.08,3.08,0.00,6.00
Finished,8 December 2022  6:19 PM,8 December 2022  7:51 PM,92,8.77,2.77,0.00,6.00
Finished,8 December 2022  7:42 PM,8 December 2022  8:33 PM,51,8.77,2.77,0.00,6.00
Finished,9 December 2022  9:13 AM,9 December 2022  10:31 AM,78,8.15,2.15,0.00,6.00
Finished,9 December 2022  9:21 AM,9 December 2022  10:04 AM,43,3.85,1.85,0.00,2.00
Finished,9 December 2022  11:40 AM,9 December 2022  12:40 PM,60,9.85,1.85,2.00,6.00
Finished,9 December 2022  2:11 PM,9 December 2022  3:44 PM,92,8.77,2.77,0.00,6.00
Finished,9 December 2022  3:37 PM,9 December 2022  5:31 PM,113,9.38,3.38,0.00,6.00
Finished,9 December 2022  3:37 PM,9 December 2022  5:30 PM,113,9.08,3.08,0.00,6.00
Finished,9 December 2022  4:07 PM,9 December 2022  4:57 PM,50,2.15,2.15,0.00,0.00
Finished,9 December 2022  4:13 PM,9 December 2022  5:35 PM,82,10.46,2.46,2.00,6.00
Finished,9 December 2022  7:59 PM,9 December 2022  8:59 PM,59,8.15,2.15,0.00,6.00
Finished,9 December 2022  8:24 PM,9 December 2022  9:58 PM,94,7.85,1.85,0.00,6.00
Finished,9 December 2022  9:06 PM,9 December 2022  10:27 PM,80,3.08,3.08,0.00,-
Finished,9 December 2022  10:18 PM,10 December 2022  12:13 AM,114,14.77,2.77,6.00,6.00
Finished,9 December 2022  10:27 PM,10 December 2022  12:27 AM,120,2.46,2.46,0.00,0.00
Finished,9 December 2022  10:28 PM,10 December 2022  12:14 AM,106,7.23,1.23,0.00,6.00
Finished,9 December 2022  10:28 PM,10 December 2022  12:14 AM,105,7.23,1.23,0.00,6.00
Finished,9 December 2022  11:44 PM,10 December 2022  1:44 AM,120,12.15,2.15,6.00,4.00
Finished,9 December 2022  11:49 PM,10 December 2022  12:27 AM,38,12.77,2.77,4.00,6.00
Finished,10 December 2022  12:36 AM,10 December 2022  1:54 AM,78,15.08,3.08,6.00,6.00
Finished,10 December 2022  12:50 AM,10 December 2022  2:50 AM,120,9.38,3.38,0.00,6.00
Finished,10 December 2022  12:50 AM,10 December 2022  2:50 AM,120,13.08,3.08,4.00,6.00
Finished,10 December 2022  12:50 AM,10 December 2022  2:50 AM,120,9.08,3.08,0.00,6.00
Finished,10 December 2022  12:51 AM,10 December 2022  2:51 AM,120,12.46,2.46,4.00,6.00
Finished,10 December 2022  2:15 AM,10 December 2022  2:57 AM,42,12.77,2.77,4.00,6.00
Finished,10 December 2022  5:44 AM,10 December 2022  6:34 AM,51,19.08,3.08,10.00,6.00
Finished,10 December 2022  8:20 AM,10 December 2022  10:20 AM,120,15.69,3.69,6.00,6.00
Finished,10 December 2022  8:54 AM,10 December 2022  10:10 AM,76,6.15,2.15,0.00,4.00
Finished,10 December 2022  9:53 AM,10 December 2022  10:30 AM,37,7.85,1.85,0.00,6.00
Finished,10 December 2022  10:03 AM,10 December 2022  11:54 AM,110,13.69,3.69,4.00,6.00
Finished,10 December 2022  10:04 AM,10 December 2022  11:49 AM,105,15.08,3.08,6.00,6.00
Finished,10 December 2022  10:04 AM,10 December 2022  11:54 AM,109,16.00,4.00,6.00,6.00
Finished,10 December 2022  10:05 AM,10 December 2022  11:53 AM,108,13.38,3.38,6.00,4.00
Finished,10 December 2022  10:27 AM,10 December 2022  11:11 AM,45,13.38,3.38,6.00,4.00
Finished,10 December 2022  10:42 AM,10 December 2022  12:37 PM,114,17.54,1.54,10.00,6.00
Finished,10 December 2022  10:46 AM,10 December 2022  12:27 PM,101,13.85,1.85,6.00,6.00
Finished,10 December 2022  10:51 AM,10 December 2022  12:47 PM,115,8.77,2.77,0.00,6.00
Finished,10 December 2022  11:01 AM,10 December 2022  11:53 AM,52,13.69,3.69,6.00,4.00
Finished,10 December 2022  11:12 AM,10 December 2022  12:26 PM,74,7.54,1.54,0.00,6.00
Finished,10 December 2022  11:13 AM,10 December 2022  1:03 PM,110,8.46,2.46,0.00,6.00
Finished,10 December 2022  11:19 AM,10 December 2022  12:54 PM,94,9.38,3.38,0.00,6.00
Finished,10 December 2022  11:19 AM,10 December 2022  12:54 PM,94,9.38,3.38,0.00,6.00
Finished,10 December 2022  11:20 AM,10 December 2022  1:20 PM,119,20.00,4.00,10.00,6.00
Finished,10 December 2022  11:22 AM,10 December 2022  1:21 PM,119,19.69,3.69,10.00,6.00
Finished,10 December 2022  11:22 AM,10 December 2022  12:29 PM,66,15.08,3.08,6.00,6.00
Finished,10 December 2022  11:38 AM,10 December 2022  1:11 PM,92,3.54,1.54,0.00,2.00
Finished,10 December 2022  11:38 AM,10 December 2022  12:17 PM,39,9.08,3.08,0.00,6.00
Finished,10 December 2022  11:47 AM,10 December 2022  1:29 PM,101,19.69,3.69,10.00,6.00
Finished,10 December 2022  11:59 AM,10 December 2022  1:27 PM,87,19.69,3.69,10.00,6.00
Finished,10 December 2022  12:22 PM,10 December 2022  2:03 PM,100,13.38,3.38,6.00,4.00
Finished,10 December 2022  12:27 PM,10 December 2022  2:09 PM,101,4.46,2.46,0.00,2.00
Finished,10 December 2022  12:55 PM,10 December 2022  2:26 PM,91,5.08,3.08,0.00,2.00
Finished,10 December 2022  1:00 PM,10 December 2022  2:02 PM,62,5.85,1.85,0.00,4.00
Finished,10 December 2022  1:04 PM,10 December 2022  1:50 PM,46,13.38,3.38,6.00,4.00
Finished,10 December 2022  1:20 PM,10 December 2022  3:04 PM,104,10.46,2.46,6.00,2.00
Finished,10 December 2022  1:20 PM,10 December 2022  2:43 PM,83,8.77,2.77,0.00,6.00
Finished,10 December 2022  1:20 PM,10 December 2022  3:13 PM,112,5.85,1.85,0.00,4.00
Finished,10 December 2022  1:21 PM,10 December 2022  3:03 PM,101,7.08,3.08,0.00,4.00
Finished,10 December 2022  1:22 PM,10 December 2022  3:04 PM,102,2.46,2.46,0.00,0.00
Finished,10 December 2022  1:25 PM,10 December 2022  3:25 PM,119,3.08,3.08,0.00,0.00
Finished,10 December 2022  1:25 PM,10 December 2022  2:15 PM,50,5.85,1.85,0.00,4.00
Finished,10 December 2022  1:28 PM,10 December 2022  2:37 PM,68,12.46,2.46,6.00,4.00
Finished,10 December 2022  1:45 PM,10 December 2022  2:31 PM,45,13.38,3.38,6.00,4.00
Finished,10 December 2022  1:46 PM,10 December 2022  2:01 PM,16,8.77,2.77,2.00,4.00
Finished,10 December 2022  1:49 PM,10 December 2022  2:02 PM,12,13.38,3.38,6.00,4.00
Finished,10 December 2022  1:51 PM,10 December 2022  2:35 PM,44,12.77,2.77,6.00,4.00
Finished,10 December 2022  2:01 PM,10 December 2022  3:05 PM,64,19.38,3.38,10.00,6.00
Finished,10 December 2022  2:03 PM,10 December 2022  3:33 PM,89,15.38,3.38,6.00,6.00
Finished,10 December 2022  2:12 PM,10 December 2022  3:37 PM,85,3.54,1.54,0.00,2.00
Finished,10 December 2022  2:12 PM,10 December 2022  3:25 PM,73,15.38,3.38,6.00,6.00
Finished,10 December 2022  2:12 PM,10 December 2022  3:46 PM,94,15.08,3.08,6.00,6.00
Finished,10 December 2022  2:17 PM,10 December 2022  2:55 PM,38,6.15,2.15,0.00,4.00
Finished,10 December 2022  2:19 PM,10 December 2022  3:48 PM,89,8.77,2.77,0.00,6.00
Finished,10 December 2022  2:19 PM,10 December 2022  3:31 PM,72,9.08,3.08,0.00,6.00
Finished,10 December 2022  2:23 PM,10 December 2022  3:31 PM,67,8.15,2.15,0.00,6.00
Finished,10 December 2022  2:26 PM,10 December 2022  3:19 PM,53,1.85,1.85,0.00,0.00
Finished,10 December 2022  2:34 PM,10 December 2022  4:31 PM,116,10.77,2.77,6.00,2.00
Finished,10 December 2022  2:37 PM,10 December 2022  2:53 PM,16,13.69,3.69,6.00,4.00
Finished,10 December 2022  2:39 PM,10 December 2022  4:39 PM,120,5.54,1.54,0.00,4.00
Finished,10 December 2022  2:39 PM,10 December 2022  3:58 PM,78,9.08,3.08,0.00,6.00
Finished,10 December 2022  2:41 PM,10 December 2022  4:41 PM,120,7.38,3.38,0.00,4.00
Finished,10 December 2022  2:41 PM,10 December 2022  4:18 PM,97,12.77,2.77,4.00,6.00
Finished,10 December 2022  2:44 PM,10 December 2022  4:45 PM,120,14.46,2.46,6.00,6.00
Finished,10 December 2022  2:48 PM,10 December 2022  4:27 PM,98,12.15,2.15,4.00,6.00
Finished,10 December 2022  2:51 PM,10 December 2022  4:45 PM,113,17.85,1.85,10.00,6.00
Finished,10 December 2022  2:54 PM,10 December 2022  4:22 PM,87,14.46,2.46,6.00,6.00
Finished,10 December 2022  2:56 PM,10 December 2022  3:53 PM,57,15.38,3.38,6.00,6.00
Finished,10 December 2022  2:56 PM,10 December 2022  3:49 PM,52,15.08,3.08,6.00,6.00
Finished,10 December 2022  2:57 PM,10 December 2022  3:55 PM,57,13.08,3.08,6.00,4.00
Finished,10 December 2022  3:03 PM,10 December 2022  4:11 PM,67,9.08,3.08,0.00,6.00
Finished,10 December 2022  3:04 PM,10 December 2022  4:16 PM,72,8.77,2.77,0.00,6.00
Finished,10 December 2022  3:06 PM,10 December 2022  3:45 PM,38,9.08,3.08,0.00,6.00
Finished,10 December 2022  3:08 PM,10 December 2022  5:07 PM,119,13.23,1.23,6.00,6.00
Finished,10 December 2022  3:16 PM,10 December 2022  5:16 PM,120,1.85,1.85,-,-
Finished,10 December 2022  3:17 PM,10 December 2022  5:16 PM,119,15.08,3.08,6.00,6.00
Finished,10 December 2022  3:20 PM,10 December 2022  3:50 PM,30,8.15,2.15,0.00,6.00
Finished,10 December 2022  3:23 PM,10 December 2022  5:15 PM,112,9.08,3.08,4.00,2.00
Finished,10 December 2022  3:26 PM,10 December 2022  4:54 PM,87,18.77,2.77,10.00,6.00
Finished,10 December 2022  3:31 PM,10 December 2022  3:56 PM,25,1.85,1.85,0.00,0.00
Finished,10 December 2022  3:37 PM,10 December 2022  5:36 PM,118,6.15,2.15,0.00,4.00
Finished,10 December 2022  3:38 PM,10 December 2022  5:38 PM,120,0.00,-,-,-
Finished,10 December 2022  3:40 PM,10 December 2022  4:43 PM,63,10.15,2.15,2.00,6.00
Finished,10 December 2022  3:43 PM,10 December 2022  5:37 PM,114,9.69,3.69,0.00,6.00
Finished,10 December 2022  3:46 PM,10 December 2022  4:00 PM,14,13.08,3.08,6.00,4.00
Finished,10 December 2022  3:47 PM,10 December 2022  5:47 PM,119,9.38,3.38,2.00,4.00
Finished,10 December 2022  3:48 PM,10 December 2022  4:17 PM,29,15.38,3.38,6.00,6.00
Finished,10 December 2022  3:51 PM,10 December 2022  4:45 PM,54,9.69,3.69,0.00,6.00
Finished,10 December 2022  3:51 PM,10 December 2022  5:51 PM,120,0.00,-,-,0.00
Finished,10 December 2022  3:53 PM,10 December 2022  5:08 PM,75,15.08,3.08,6.00,6.00
Finished,10 December 2022  3:53 PM,10 December 2022  5:05 PM,71,12.46,2.46,4.00,6.00
Finished,10 December 2022  3:54 PM,10 December 2022  5:54 PM,120,15.38,3.38,6.00,6.00
Finished,10 December 2022  3:56 PM,10 December 2022  5:56 PM,120,15.38,3.38,6.00,6.00
Finished,10 December 2022  3:56 PM,10 December 2022  5:56 PM,120,19.69,3.69,10.00,6.00
Finished,10 December 2022  3:57 PM,10 December 2022  4:29 PM,33,9.38,3.38,0.00,6.00
Finished,10 December 2022  3:57 PM,10 December 2022  5:46 PM,109,13.69,3.69,6.00,4.00
Finished,10 December 2022  4:01 PM,10 December 2022  4:30 PM,29,15.69,3.69,10.00,2.00
Finished,10 December 2022  4:02 PM,10 December 2022  5:01 PM,60,9.38,3.38,0.00,6.00
Finished,10 December 2022  4:02 PM,10 December 2022  4:45 PM,43,9.08,3.08,0.00,6.00
Finished,10 December 2022  4:03 PM,10 December 2022  5:55 PM,111,14.77,2.77,6.00,6.00
Finished,10 December 2022  4:06 PM,10 December 2022  5:27 PM,81,12.15,2.15,6.00,4.00
Finished,10 December 2022  4:07 PM,10 December 2022  6:07 PM,120,4.15,2.15,0.00,2.00
Finished,10 December 2022  4:08 PM,10 December 2022  5:55 PM,107,13.38,3.38,4.00,6.00
Finished,10 December 2022  4:10 PM,10 December 2022  6:10 PM,120,11.08,3.08,2.00,6.00
Finished,10 December 2022  4:15 PM,10 December 2022  6:15 PM,119,11.85,1.85,4.00,6.00
Finished,10 December 2022  4:18 PM,10 December 2022  6:18 PM,120,8.77,2.77,0.00,6.00
Finished,10 December 2022  4:20 PM,10 December 2022  5:25 PM,64,12.46,2.46,6.00,4.00
Finished,10 December 2022  4:21 PM,10 December 2022  5:15 PM,54,4.46,2.46,0.00,2.00
Finished,10 December 2022  4:22 PM,10 December 2022  4:59 PM,37,6.15,2.15,0.00,4.00
Finished,10 December 2022  4:22 PM,10 December 2022  6:22 PM,120,9.38,3.38,4.00,2.00
Finished,10 December 2022  4:23 PM,10 December 2022  6:16 PM,112,1.54,1.54,0.00,0.00
Finished,10 December 2022  4:24 PM,10 December 2022  4:49 PM,26,10.77,2.77,8.00,0.00
Finished,10 December 2022  4:24 PM,10 December 2022  6:24 PM,120,19.08,3.08,10.00,6.00
Finished,10 December 2022  4:25 PM,10 December 2022  6:23 PM,118,16.00,4.00,6.00,6.00
Finished,10 December 2022  4:26 PM,10 December 2022  5:33 PM,67,8.46,2.46,0.00,6.00
Finished,10 December 2022  4:27 PM,10 December 2022  6:05 PM,98,15.38,3.38,6.00,6.00
Finished,10 December 2022  4:27 PM,10 December 2022  5:33 PM,65,8.15,2.15,0.00,6.00
Finished,10 December 2022  4:28 PM,10 December 2022  5:11 PM,43,4.15,2.15,0.00,2.00
Finished,10 December 2022  4:28 PM,10 December 2022  6:06 PM,97,10.46,2.46,2.00,6.00
Finished,10 December 2022  4:30 PM,10 December 2022  6:29 PM,119,11.69,3.69,4.00,4.00
Finished,10 December 2022  4:31 PM,10 December 2022  6:30 PM,118,7.69,3.69,2.00,2.00
Finished,10 December 2022  4:32 PM,10 December 2022  6:23 PM,110,2.46,2.46,0.00,0.00
Finished,10 December 2022  4:32 PM,10 December 2022  6:29 PM,117,6.77,2.77,0.00,4.00
Finished,10 December 2022  4:33 PM,10 December 2022  5:19 PM,47,9.08,3.08,0.00,6.00
Finished,10 December 2022  4:33 PM,10 December 2022  5:31 PM,59,10.46,2.46,2.00,6.00
Finished,10 December 2022  4:33 PM,10 December 2022  6:30 PM,116,7.69,3.69,0.00,4.00
Finished,10 December 2022  4:33 PM,10 December 2022  6:26 PM,112,8.77,2.77,0.00,6.00
Finished,10 December 2022  4:35 PM,10 December 2022  5:29 PM,54,10.77,2.77,2.00,6.00
Finished,10 December 2022  4:36 PM,10 December 2022  6:30 PM,113,11.69,3.69,2.00,6.00
Finished,10 December 2022  4:36 PM,10 December 2022  5:49 PM,73,4.77,2.77,0.00,2.00
Finished,10 December 2022  4:37 PM,10 December 2022  5:15 PM,38,9.69,3.69,4.00,2.00
Finished,10 December 2022  4:38 PM,10 December 2022  5:46 PM,67,7.69,3.69,0.00,4.00
Finished,10 December 2022  4:41 PM,10 December 2022  6:20 PM,99,9.69,3.69,2.00,4.00
Finished,10 December 2022  4:42 PM,10 December 2022  6:29 PM,107,7.85,1.85,0.00,6.00
Finished,10 December 2022  4:43 PM,10 December 2022  6:08 PM,84,9.69,3.69,6.00,0.00
Finished,10 December 2022  4:44 PM,10 December 2022  6:25 PM,100,12.00,4.00,6.00,2.00
Finished,10 December 2022  4:45 PM,10 December 2022  6:25 PM,100,9.38,3.38,2.00,4.00
Finished,10 December 2022  4:49 PM,10 December 2022  6:30 PM,100,1.54,1.54,0.00,-
Finished,10 December 2022  4:50 PM,10 December 2022  5:03 PM,13,19.38,3.38,10.00,6.00
Finished,10 December 2022  4:51 PM,10 December 2022  6:23 PM,91,9.54,1.54,4.00,4.00
Finished,10 December 2022  4:52 PM,10 December 2022  6:26 PM,94,2.46,2.46,0.00,0.00
Finished,10 December 2022  4:52 PM,10 December 2022  6:30 PM,97,10.46,2.46,6.00,2.00
Finished,10 December 2022  4:52 PM,10 December 2022  6:30 PM,97,13.23,1.23,6.00,6.00
