State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,29 November 2022  9:31 AM,29 November 2022  10:18 AM,47.77,11.43,11.43
Finished,29 November 2022  10:03 AM,29 November 2022  11:53 AM,109.0,12.38,12.38
Finished,29 November 2022  10:03 AM,29 November 2022  11:53 AM,109.0,12.38,12.38
Finished,29 November 2022  3:27 PM,29 November 2022  3:55 PM,27.85,14.29,14.29
Finished,29 November 2022  6:19 PM,29 November 2022  7:30 PM,71.0,12.38,12.38
Finished,30 November 2022  11:45 AM,30 November 2022  1:45 PM,120.0,0.00,-
Finished,30 November 2022  12:56 PM,30 November 2022  1:07 PM,10.88,14.29,14.29
Finished,30 November 2022  4:58 PM,30 November 2022  5:51 PM,53.72,18.10,18.10
Finished,1 December 2022  10:59 AM,1 December 2022  11:59 AM,60.0,15.71,15.71
Finished,1 December 2022  3:05 PM,1 December 2022  3:55 PM,49.77,14.29,14.29
Finished,1 December 2022  3:05 PM,1 December 2022  3:51 PM,45.07,14.29,14.29
Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.88,12.38,12.38
Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.7,17.62,17.62
Finished,1 December 2022  3:08 PM,1 December 2022  3:52 PM,43.37,17.62,17.62
Finished,1 December 2022  4:03 PM,1 December 2022  6:03 PM,120.0,16.19,16.19
Finished,1 December 2022  4:04 PM,1 December 2022  6:01 PM,117.0,18.57,18.57
Finished,1 December 2022  4:06 PM,1 December 2022  6:02 PM,115.0,17.14,17.14
Finished,1 December 2022  9:00 PM,1 December 2022  9:27 PM,27.02,11.90,11.90
Finished,2 December 2022  12:55 PM,2 December 2022  1:29 PM,33.83,8.57,8.57
Finished,2 December 2022  6:11 PM,2 December 2022  7:09 PM,58.15,16.67,16.67
Finished,2 December 2022  6:11 PM,2 December 2022  7:08 PM,56.68,16.67,16.67
Finished,2 December 2022  6:19 PM,2 December 2022  6:56 PM,37.18,15.71,15.71
Finished,2 December 2022  6:27 PM,2 December 2022  7:21 PM,53.78,18.10,18.10
Finished,2 December 2022  6:34 PM,2 December 2022  8:18 PM,104.0,13.33,13.33
Finished,2 December 2022  6:57 PM,2 December 2022  7:19 PM,21.73,15.71,15.71
Finished,2 December 2022  7:32 PM,2 December 2022  8:19 PM,47.7,9.05,9.05
Finished,2 December 2022  9:21 PM,2 December 2022  9:50 PM,29.13,14.29,14.29
Finished,2 December 2022  9:28 PM,2 December 2022  10:38 PM,70.0,17.62,17.62
Finished,2 December 2022  9:59 PM,2 December 2022  11:46 PM,107.0,13.81,13.81
Finished,2 December 2022  10:09 PM,2 December 2022  11:58 PM,109.0,12.38,12.38
Finished,2 December 2022  11:06 PM,3 December 2022  1:06 AM,120.0,17.14,17.14
Finished,2 December 2022  11:09 PM,3 December 2022  12:02 AM,52.67,18.57,18.57
Finished,2 December 2022  11:23 PM,2 December 2022  11:40 PM,17.23,16.19,16.19
Finished,2 December 2022  11:44 PM,3 December 2022  1:43 AM,118.0,14.29,14.29
Finished,3 December 2022  12:29 AM,3 December 2022  2:29 AM,120.0,12.86,12.86
Finished,3 December 2022  1:40 AM,3 December 2022  3:40 AM,120.0,14.76,14.76
Finished,3 December 2022  1:50 AM,3 December 2022  2:34 AM,43.93,17.62,17.62
Finished,3 December 2022  2:05 AM,3 December 2022  2:27 AM,21.82,16.67,16.67
Finished,3 December 2022  9:07 AM,3 December 2022  10:18 AM,70.0,6.19,6.19
Finished,3 December 2022  9:40 AM,3 December 2022  11:38 AM,118.0,9.05,9.05
Finished,3 December 2022  10:00 AM,3 December 2022  11:54 AM,113.0,6.67,6.67
Finished,3 December 2022  10:07 AM,3 December 2022  12:07 PM,120.0,17.62,17.62
Finished,3 December 2022  10:10 AM,3 December 2022  11:17 AM,67.0,15.71,15.71
Finished,3 December 2022  10:10 AM,3 December 2022  11:05 AM,55.12,17.14,17.14
Finished,3 December 2022  10:10 AM,3 December 2022  11:06 AM,55.25,12.38,12.38
Finished,3 December 2022  10:11 AM,3 December 2022  11:15 AM,64.0,15.24,15.24
Finished,3 December 2022  10:33 AM,3 December 2022  11:06 AM,32.47,18.10,18.10
Finished,3 December 2022  10:33 AM,3 December 2022  11:06 AM,32.4,18.57,18.57
Finished,3 December 2022  10:43 AM,3 December 2022  12:37 PM,114.0,18.10,18.10
Finished,3 December 2022  10:43 AM,3 December 2022  12:44 PM,120.0,17.62,17.62
Finished,3 December 2022  10:52 AM,3 December 2022  11:49 AM,56.8,14.29,14.29
Finished,3 December 2022  10:52 AM,3 December 2022  12:24 PM,91.0,16.67,16.67
Finished,3 December 2022  11:04 AM,3 December 2022  11:46 AM,41.2,16.67,16.67
Finished,3 December 2022  11:13 AM,3 December 2022  12:18 PM,65.0,6.67,6.67
Finished,3 December 2022  11:15 AM,3 December 2022  12:09 PM,54.65,18.57,18.57
Finished,3 December 2022  11:18 AM,3 December 2022  11:58 AM,39.15,17.14,17.14
Finished,3 December 2022  11:20 AM,3 December 2022  11:58 AM,37.18,17.14,17.14
Finished,3 December 2022  11:28 AM,3 December 2022  12:44 PM,76.0,15.24,15.24
Finished,3 December 2022  11:30 AM,3 December 2022  12:44 PM,73.0,18.10,18.10
Finished,3 December 2022  11:30 AM,3 December 2022  12:36 PM,66.0,18.10,18.10
Finished,3 December 2022  11:31 AM,3 December 2022  12:45 PM,74.0,18.10,18.10
Finished,3 December 2022  11:32 AM,3 December 2022  12:57 PM,84.0,10.00,10.00
Finished,3 December 2022  11:33 AM,3 December 2022  11:45 AM,12.72,17.62,17.62
Finished,3 December 2022  11:39 AM,3 December 2022  12:14 PM,34.47,16.67,16.67
Finished,3 December 2022  11:46 AM,3 December 2022  1:45 PM,119.0,18.10,18.10
Finished,3 December 2022  11:49 AM,3 December 2022  12:39 PM,50.32,16.19,16.19
Finished,3 December 2022  11:56 AM,3 December 2022  1:30 PM,94.0,18.10,18.10
Finished,3 December 2022  12:03 PM,3 December 2022  1:55 PM,112.0,10.95,10.95
Finished,3 December 2022  12:05 PM,3 December 2022  1:26 PM,81.0,18.57,18.57
Finished,3 December 2022  12:09 PM,3 December 2022  1:21 PM,71.0,10.00,10.00
Finished,3 December 2022  12:12 PM,3 December 2022  1:04 PM,52.07,18.10,18.10
Finished,3 December 2022  12:14 PM,3 December 2022  1:28 PM,73.0,11.90,11.90
Finished,3 December 2022  12:31 PM,3 December 2022  1:05 PM,33.92,11.43,11.43
Finished,3 December 2022  12:34 PM,3 December 2022  1:46 PM,72.0,12.86,12.86
Finished,3 December 2022  12:59 PM,3 December 2022  1:28 PM,29.9,11.90,11.90
Finished,3 December 2022  1:08 PM,3 December 2022  1:20 PM,12.18,15.24,15.24
Finished,3 December 2022  1:16 PM,3 December 2022  1:58 PM,41.93,17.14,17.14
Finished,3 December 2022  1:22 PM,3 December 2022  2:54 PM,92.0,18.57,18.57
Finished,3 December 2022  1:28 PM,3 December 2022  2:39 PM,70.0,10.00,10.00
Finished,3 December 2022  1:34 PM,3 December 2022  3:02 PM,88.0,12.86,12.86
Finished,3 December 2022  1:36 PM,3 December 2022  3:36 PM,119.0,13.33,13.33
Finished,3 December 2022  1:40 PM,3 December 2022  3:39 PM,119.0,14.29,14.29
Finished,3 December 2022  1:40 PM,3 December 2022  3:40 PM,120.0,14.29,14.29
Finished,3 December 2022  1:44 PM,3 December 2022  3:38 PM,113.0,10.00,10.00
Finished,3 December 2022  1:59 PM,3 December 2022  2:41 PM,42.32,16.67,16.67
Finished,3 December 2022  1:59 PM,3 December 2022  2:47 PM,47.4,11.90,11.90
Finished,3 December 2022  2:00 PM,3 December 2022  3:20 PM,80.0,17.14,17.14
Finished,3 December 2022  2:00 PM,3 December 2022  4:00 PM,120.0,18.57,18.57
Finished,3 December 2022  2:09 PM,3 December 2022  2:42 PM,32.53,18.57,18.57
Finished,3 December 2022  2:12 PM,3 December 2022  3:53 PM,101.0,10.00,10.00
Finished,3 December 2022  2:12 PM,3 December 2022  4:12 PM,120.0,17.62,17.62
Finished,3 December 2022  2:16 PM,3 December 2022  3:21 PM,64.0,18.10,18.10
Finished,3 December 2022  2:21 PM,3 December 2022  2:45 PM,24.1,11.43,11.43
Finished,3 December 2022  2:30 PM,3 December 2022  3:21 PM,50.98,18.10,18.10
Finished,3 December 2022  2:31 PM,3 December 2022  3:25 PM,53.42,15.24,15.24
Finished,3 December 2022  2:34 PM,3 December 2022  4:34 PM,120.0,14.29,14.29
Finished,3 December 2022  2:35 PM,3 December 2022  4:28 PM,112.0,14.76,14.76
Finished,3 December 2022  2:44 PM,3 December 2022  3:45 PM,60.0,16.19,16.19
Finished,3 December 2022  2:49 PM,3 December 2022  4:17 PM,88.0,17.62,17.62
Finished,3 December 2022  2:59 PM,3 December 2022  3:42 PM,42.53,15.71,15.71
Finished,3 December 2022  3:00 PM,3 December 2022  5:00 PM,120.0,15.24,15.24
Finished,3 December 2022  3:03 PM,3 December 2022  3:43 PM,39.7,15.71,15.71
Finished,3 December 2022  3:05 PM,3 December 2022  5:02 PM,116.0,18.10,18.10
Finished,3 December 2022  3:06 PM,3 December 2022  4:34 PM,88.0,17.62,17.62
Finished,3 December 2022  3:06 PM,3 December 2022  4:03 PM,56.88,8.57,8.57
Finished,3 December 2022  3:06 PM,3 December 2022  4:14 PM,68.0,8.57,8.57
Finished,3 December 2022  3:07 PM,3 December 2022  5:04 PM,116.0,17.14,17.14
Finished,3 December 2022  3:10 PM,3 December 2022  4:04 PM,53.32,17.62,17.62
Finished,3 December 2022  3:13 PM,3 December 2022  3:47 PM,34.43,18.10,18.10
Finished,3 December 2022  3:13 PM,3 December 2022  5:13 PM,120.0,17.62,17.62
Finished,3 December 2022  3:14 PM,3 December 2022  3:53 PM,38.53,10.00,10.00
Finished,3 December 2022  3:17 PM,3 December 2022  5:09 PM,111.0,11.90,11.90
Finished,3 December 2022  3:18 PM,3 December 2022  4:20 PM,62.0,15.24,15.24
Finished,3 December 2022  3:20 PM,3 December 2022  3:53 PM,32.52,12.38,12.38
Finished,3 December 2022  3:22 PM,3 December 2022  5:17 PM,114.0,18.10,18.10
Finished,3 December 2022  3:22 PM,3 December 2022  4:16 PM,53.3,8.10,8.10
Finished,3 December 2022  3:22 PM,3 December 2022  5:10 PM,107.0,17.62,17.62
Finished,3 December 2022  3:23 PM,3 December 2022  4:06 PM,43.18,18.57,18.57
Finished,3 December 2022  3:23 PM,3 December 2022  5:20 PM,116.0,18.57,18.57
Finished,3 December 2022  3:24 PM,3 December 2022  4:08 PM,43.8,15.24,15.24
Finished,3 December 2022  3:27 PM,3 December 2022  4:15 PM,47.48,16.67,16.67
Finished,3 December 2022  3:27 PM,3 December 2022  4:10 PM,42.32,13.81,13.81
Finished,3 December 2022  3:30 PM,3 December 2022  3:55 PM,24.35,12.86,12.86
Finished,3 December 2022  3:33 PM,3 December 2022  4:02 PM,28.73,16.67,16.67
Finished,3 December 2022  3:34 PM,3 December 2022  4:57 PM,83.0,15.24,15.24
Finished,3 December 2022  3:35 PM,3 December 2022  5:35 PM,120.0,16.19,16.19
Finished,3 December 2022  3:39 PM,3 December 2022  4:17 PM,38.0,17.14,17.14
