ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
21200527.0,Finished,21 November 2022  2:09 PM,21 November 2022  3:18 PM,69.0,12.50,5.00,3.33,0.00,4.17
3700119.0,Finished,21 November 2022  9:08 PM,21 November 2022  10:45 PM,97.0,13.33,5.00,1.67,2.50,4.17
28604542.0,Finished,21 November 2022  9:08 PM,21 November 2022  10:45 PM,97.0,12.78,4.44,1.67,2.50,4.17
28705068.0,Finished,21 November 2022  10:15 PM,21 November 2022  11:19 PM,64.0,11.11,2.78,3.33,2.50,2.50
3804183.0,Finished,22 November 2022  12:03 AM,22 November 2022  1:52 AM,109.0,15.00,5.00,3.33,2.50,4.17
28617316.0,Finished,22 November 2022  12:03 AM,22 November 2022  1:47 AM,104.0,15.00,5.00,3.33,2.50,4.17
28708645.0,Finished,22 November 2022  8:49 AM,22 November 2022  9:56 AM,66.0,10.56,3.89,1.67,2.50,2.50
28707195.0,Finished,22 November 2022  1:18 PM,22 November 2022  3:09 PM,110.0,13.33,5.00,1.67,2.50,4.17
28709878.0,Finished,22 November 2022  6:15 PM,22 November 2022  7:58 PM,103.0,10.83,1.67,3.33,2.50,3.33
28631029.0,Finished,23 November 2022  4:10 PM,23 November 2022  6:10 PM,120.0,13.06,4.72,3.33,2.50,2.50
28710401.0,Finished,23 November 2022  4:18 PM,23 November 2022  6:18 PM,120.0,13.06,4.72,3.33,2.50,2.50
28713149.0,Finished,23 November 2022  5:07 PM,23 November 2022  6:28 PM,81.0,11.39,4.72,3.33,2.50,0.83
3803083.0,Finished,23 November 2022  8:20 PM,23 November 2022  8:59 PM,38.4,15.83,5.00,3.33,2.50,5.00
3803110.0,Finished,23 November 2022  8:23 PM,23 November 2022  8:59 PM,35.55,15.83,5.00,3.33,2.50,5.00
28738728.0,Finished,24 November 2022  10:50 AM,24 November 2022  11:34 AM,43.18,13.33,5.00,3.33,2.50,2.50
21218316.0,Finished,24 November 2022  1:54 PM,24 November 2022  3:33 PM,98.0,16.11,4.44,5.00,2.50,4.17
28706128.0,Finished,24 November 2022  3:03 PM,24 November 2022  4:36 PM,93.0,16.67,5.00,5.00,2.50,4.17
28624266.0,Finished,24 November 2022  3:03 PM,24 November 2022  4:36 PM,93.0,15.00,5.00,3.33,2.50,4.17
28701368.0,Finished,24 November 2022  3:05 PM,24 November 2022  4:36 PM,90.0,13.33,5.00,3.33,2.50,2.50
28700380.0,Finished,24 November 2022  3:05 PM,24 November 2022  4:36 PM,91.0,16.67,5.00,5.00,2.50,4.17
3702933.0,Finished,24 November 2022  3:57 PM,24 November 2022  4:51 PM,53.25,12.78,2.78,3.33,2.50,4.17
28616341.0,Finished,24 November 2022  4:09 PM,24 November 2022  5:22 PM,72.0,15.00,5.00,3.33,2.50,4.17
28711936.0,Finished,25 November 2022  9:24 AM,25 November 2022  11:23 AM,119.0,12.50,3.33,3.33,2.50,3.33
28711505.0,Finished,25 November 2022  9:29 AM,25 November 2022  11:23 AM,114.0,9.72,3.89,3.33,2.50,0.00
28608444.0,Finished,25 November 2022  9:33 AM,25 November 2022  10:45 AM,72.0,14.72,4.72,3.33,2.50,4.17
3800655.0,Finished,25 November 2022  11:49 AM,25 November 2022  1:48 PM,118.0,12.22,2.22,3.33,2.50,4.17
28707917.0,Finished,25 November 2022  1:57 PM,25 November 2022  2:59 PM,62.0,8.06,3.89,3.33,0.00,0.83
28708934.0,Finished,25 November 2022  2:59 PM,25 November 2022  3:27 PM,27.32,11.39,3.89,3.33,0.00,4.17
28707889.0,Finished,25 November 2022  4:00 PM,25 November 2022  5:58 PM,117.0,15.00,5.00,5.00,0.00,5.00
