State,Started on,Completed,Time taken,Grade/20.00
Finished,28 September 2020  12:32 AM,28 September 2020  1:13 AM,40.77,18.82
Finished,25 September 2020  11:22 AM,25 September 2020  12:51 PM,88.0,16.47
Finished,27 September 2020  1:44 PM,27 September 2020  3:44 PM,119.0,17.06
Finished,22 September 2020  5:30 PM,22 September 2020  6:50 PM,79.0,18.24
Finished,27 September 2020  10:36 PM,27 September 2020  11:07 PM,30.5,16.47
Finished,26 September 2020  7:05 PM,26 September 2020  8:44 PM,99.0,11.76
Finished,27 September 2020  4:05 PM,27 September 2020  5:00 PM,54.45,14.71
Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,15.58,17.65
Finished,22 September 2020  5:13 PM,22 September 2020  6:51 PM,98.0,14.71
Finished,27 September 2020  7:03 PM,27 September 2020  7:38 PM,35.42,18.82
Finished,25 September 2020  6:07 PM,25 September 2020  7:15 PM,68.0,10.59
Finished,21 September 2020  7:16 PM,21 September 2020  8:25 PM,69.0,13.53
Finished,28 September 2020  12:35 AM,28 September 2020  2:14 AM,99.0,19.41
Finished,28 September 2020  12:30 AM,28 September 2020  1:08 AM,37.8,18.82
Finished,27 September 2020  11:07 PM,27 September 2020  11:29 PM,22.27,18.82
Finished,24 September 2020  4:34 PM,24 September 2020  5:25 PM,51.45,15.29
Finished,27 September 2020  11:24 PM,28 September 2020  12:52 AM,88.0,16.47
Finished,27 September 2020  3:22 PM,27 September 2020  4:26 PM,64.0,17.06
Finished,26 September 2020  8:08 PM,26 September 2020  9:15 PM,66.0,17.06
Finished,28 September 2020  1:22 AM,28 September 2020  2:41 AM,79.0,8.82
Finished,27 September 2020  3:43 PM,27 September 2020  4:00 PM,16.48,17.06
Finished,22 September 2020  11:22 AM,22 September 2020  12:29 PM,67.0,17.06
Finished,27 September 2020  1:50 PM,27 September 2020  3:49 PM,118.0,14.12
Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,16.47,18.24
Finished,27 September 2020  12:04 PM,27 September 2020  2:04 PM,120.0,10.59
Finished,27 September 2020  8:14 PM,27 September 2020  10:12 PM,118.0,10.59
Finished,23 September 2020  4:24 AM,23 September 2020  5:23 AM,58.95,14.12
Finished,27 September 2020  10:34 PM,28 September 2020  12:34 AM,119.0,18.82
Finished,24 September 2020  1:18 PM,24 September 2020  1:54 PM,35.93,12.35
Finished,27 September 2020  11:04 PM,28 September 2020  12:10 AM,66.0,14.12
Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71
Finished,27 September 2020  8:14 PM,27 September 2020  8:22 PM,7.55,16.47
Finished,24 September 2020  8:42 PM,24 September 2020  9:10 PM,28.12,12.94
Finished,21 September 2020  7:50 PM,21 September 2020  9:09 PM,79.0,4.71
Finished,27 September 2020  9:13 PM,27 September 2020  10:51 PM,98.0,16.47
Finished,23 September 2020  9:58 PM,23 September 2020  11:51 PM,112.0,10.59
Finished,27 September 2020  9:16 PM,27 September 2020  10:31 PM,75.0,10.0
Finished,26 September 2020  11:14 AM,26 September 2020  11:46 AM,31.82,11.18
Finished,22 September 2020  3:42 PM,22 September 2020  4:51 PM,69.0,11.18
Finished,25 September 2020  3:06 PM,25 September 2020  4:12 PM,66.0,11.76
Finished,27 September 2020  1:34 PM,27 September 2020  3:06 PM,91.0,9.41
Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.12
Finished,28 September 2020  7:57 AM,28 September 2020  8:18 AM,20.92,19.41
Finished,27 September 2020  3:06 PM,27 September 2020  5:03 PM,117.0,9.41
Finished,27 September 2020  10:18 PM,27 September 2020  11:15 PM,56.63,15.88
Finished,27 September 2020  6:32 PM,27 September 2020  8:19 PM,107.0,15.29
Finished,22 September 2020  6:14 PM,22 September 2020  7:02 PM,48.13,4.71
Finished,27 September 2020  11:09 AM,27 September 2020  12:22 PM,73.0,15.29
Finished,26 September 2020  5:37 PM,26 September 2020  7:16 PM,99.0,18.82
Finished,27 September 2020  3:48 PM,27 September 2020  4:01 PM,12.28,18.82
Finished,24 September 2020  3:34 PM,24 September 2020  5:33 PM,118.0,11.76
Finished,28 September 2020  8:47 AM,28 September 2020  9:36 AM,49.02,12.35
Finished,23 September 2020  8:33 PM,23 September 2020  9:47 PM,74.0,16.47
Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71
Finished,28 October 2020  10:54 PM,28 October 2020  11:30 PM,35.87,18.82
Finished,28 September 2020  1:46 AM,28 September 2020  2:20 AM,34.9,19.41
Finished,27 September 2020  10:28 PM,27 September 2020  10:40 PM,12.0,16.47
Finished,27 September 2020  3:49 PM,27 September 2020  5:34 PM,104.0,13.53
Finished,23 September 2020  12:49 PM,23 September 2020  2:44 PM,114.0,16.47
Finished,23 September 2020  4:22 PM,23 September 2020  5:41 PM,78.0,16.47
Finished,26 September 2020  11:18 AM,26 September 2020  12:35 PM,76.0,11.18
Finished,27 September 2020  8:37 PM,27 September 2020  10:06 PM,88.0,18.24
Finished,27 September 2020  3:40 PM,27 September 2020  4:54 PM,74.0,18.82
Finished,26 September 2020  8:37 PM,26 September 2020  9:23 PM,46.3,5.88
Finished,27 September 2020  8:52 PM,27 September 2020  9:42 PM,49.85,11.18
Finished,21 September 2020  9:14 PM,21 September 2020  11:12 PM,118.0,10.59
Finished,28 September 2020  5:58 AM,28 September 2020  7:24 AM,86.0,18.82
Finished,27 September 2020  10:13 PM,27 September 2020  10:29 PM,15.18,16.47
Finished,26 September 2020  12:49 PM,26 September 2020  12:58 PM,9.03,16.47
Finished,27 September 2020  4:32 PM,27 September 2020  4:37 PM,5.0,15.88
Finished,21 September 2020  9:02 PM,21 September 2020  9:51 PM,49.27,17.06
Finished,23 September 2020  4:15 PM,23 September 2020  5:41 PM,86.0,16.47
Finished,27 September 2020  11:01 PM,28 September 2020  1:02 AM,120.0,14.71
Finished,28 September 2020  1:10 AM,28 September 2020  2:55 AM,105.0,15.88
Finished,27 September 2020  5:27 PM,27 September 2020  6:59 PM,92.0,14.12
Finished,23 September 2020  6:44 PM,23 September 2020  8:10 PM,85.0,17.65
Finished,27 September 2020  3:06 PM,27 September 2020  4:05 PM,58.63,15.29
Finished,27 September 2020  4:37 PM,27 September 2020  5:51 PM,74.0,16.47
Finished,27 September 2020  9:38 PM,27 September 2020  10:51 PM,73.0,16.47
Finished,27 September 2020  1:22 PM,27 September 2020  2:42 PM,79.0,15.29
Finished,27 September 2020  9:52 PM,27 September 2020  11:42 PM,109.0,10.0
Finished,26 September 2020  2:09 PM,26 September 2020  3:57 PM,107.0,17.06
Finished,23 September 2020  11:50 AM,23 September 2020  1:41 PM,111.0,13.53
Finished,21 September 2020  4:04 PM,21 September 2020  5:27 PM,83.0,14.12
Finished,27 September 2020  8:22 PM,27 September 2020  9:10 PM,48.3,9.41
Finished,28 September 2020  1:07 AM,28 September 2020  3:06 AM,119.0,10.59
Finished,25 September 2020  4:50 PM,25 September 2020  6:11 PM,81.0,15.88
Finished,27 September 2020  2:45 PM,27 September 2020  4:43 PM,118.0,11.76
Finished,25 September 2020  3:15 PM,25 September 2020  4:35 PM,80.0,13.53
Finished,27 September 2020  9:35 PM,27 September 2020  11:15 PM,100.0,15.88
Finished,24 September 2020  12:52 PM,24 September 2020  2:51 PM,119.0,15.88
Finished,28 September 2020  8:47 AM,28 September 2020  10:15 AM,88.0,15.29
Finished,23 September 2020  4:11 PM,23 September 2020  5:41 PM,89.0,16.47
Finished,22 September 2020  5:06 PM,22 September 2020  6:56 PM,109.0,16.47
Finished,28 September 2020  6:40 AM,28 September 2020  7:54 AM,73.0,16.47
Finished,28 September 2020  1:44 AM,28 September 2020  2:31 AM,46.5,16.47
Finished,26 September 2020  2:14 PM,26 September 2020  3:14 PM,60.0,11.18
Finished,25 September 2020  1:47 PM,25 September 2020  2:40 PM,53.1,12.35
Finished,27 September 2020  10:22 PM,27 September 2020  11:08 PM,46.07,18.82
Finished,25 September 2020  10:13 PM,25 September 2020  10:59 PM,45.72,18.24
Finished,28 September 2020  12:07 AM,28 September 2020  12:32 AM,24.92,15.88
Finished,27 September 2020  10:15 PM,27 September 2020  11:34 PM,78.0,17.65
